part_id,production_timestamp,line_id,station_id,operator_id,measure_diam_mm,measure_length_mm,flatness_mm,torque_Nm,surface_roughness_Ra,temp_process_C,vibration_level,cycle_time_s,material_batch,visual_inspection_score,defect_label
1,2024-06-13 17:42:45,2,1,5,15.582,34.1,34.813,318.147,33.62,72.543,0.093695,146.532,MB-2024W24-L02-575,0.602019,1
2,2024-07-26 10:36:48,9,14,4,42.377,30.26,36.116,379.256,23.61,82.438,0.957213,167.319,MB-2024W30-L09-100,0.092746,0
3,2025-12-08 17:35:40,6,20,5,25.141,52.082,36.588,347.408,44.468,116.188,0.704572,109.165,MB-2025W50-L06-297,0.227898,0
4,2024-12-09 12:56:36,4,4,7,35.427,44.593,27.404,183.803,20.679,144.932,0.648035,221.826,MB-2024W50-L04-747,0.171139,0
5,2025-09-08 15:54:15,8,13,5,22.618,40.71,24.22,477.164,45.055,95.174,0.655439,179.126,MB-2025W37-L08-470,0.914548,1
6,2025-07-25 14:06:34,3,8,9,33.383,65.913,27.988,187.728,49.902,110.762,0.090909,109.423,MB-2025W30-L03-643,0.109649,1
7,2025-02-06 08:10:08,7,20,2,20.057,52.129,38.849,372.113,14.582,140.783,0.750878,253.72,MB-2025W06-L07-301,0.340175,0
8,2025-01-20 16:38:06,8,1,5,46.505,64.821,25.969,355.58,34.359,82.227,0.762511,207.876,MB-2025W04-L08-544,0.778626,0
9,2025-09-29 08:07:54,10,11,8,42.271,39.578,24.817,326.943,13.15,128.553,0.816023,295.597,MB-2025W40-L10-129,0.532706,1
10,2025-04-07 12:29:34,8,18,3,26.926,38.472,30.786,391.972,18.046,94.937,0.995149,229.976,MB-2025W15-L08-530,0.4381,0
11,2024-01-08 16:52:11,4,8,2,33.532,39.205,24.404,128.397,35.244,88.315,0.90542,271.927,MB-2024W02-L04-244,0.070857,0
12,2025-11-07 17:34:31,8,7,9,32.842,48.907,35.692,422.999,17.616,77.754,0.431051,184.716,MB-2025W45-L08-747,0.467025,1
13,2025-10-22 15:30:11,2,2,7,14.371,37.664,30.726,156.073,17.34,107.01,0.874486,115.077,MB-2025W43-L02-877,0.808022,1
